Day,Cumulative Reach
1,4800.0
2,9600.0
3,14400.0
4,19200.0
5,24000.0
6,28800.0
7,33600.0
8,38400.0
9,43200.0
10,48000.0
11,52800.0
12,57600.0
13,62400.0
14,67200.0
15,72000.0
16,76800.0
17,81600.0
18,86400.0
19,91200.0
20,96000.0
21,100800.0
22,105600.0
23,110400.0
24,115200.0
25,120000.0
26,124800.0
27,129600.0
28,134400.0
29,139200.0
30,144000.0
31,148800.0
32,153600.0
33,158400.0
34,163200.0
35,168000.0
36,172800.0
37,177600.0
38,182400.0
39,187200.0
40,192000.0
41,196800.0
42,201600.0
43,206400.0
44,211200.0
45,216000.0
46,220800.0
47,225600.0
48,230400.0
49,235200.0
50,240000.0
51,244800.0
52,249600.0
53,254400.0
54,259200.0
55,264000.0
56,268800.0
57,273600.0
58,278400.0
59,283200.0
60,288000.0
61,292800.0
62,297600.0
63,302400.0
64,307200.0
65,312000.0
66,316800.0
67,321600.0
68,326400.0
69,331200.0
70,336000.0
71,340800.0
72,345600.0
73,350400.0
74,355200.0
75,360000.0
76,364800.0
77,369600.0
78,374400.0
79,379200.0
80,384000.0
81,388800.0
82,393600.0
83,398400.0
84,403200.0
85,408000.0
86,412800.0
87,417600.0
88,422400.0
89,427200.0
90,432000.0
91,436800.0
92,441600.0
93,446400.0
94,451200.0
95,456000.0
96,460800.0
97,465600.0
98,470400.0
99,475200.0
100,480000.0
101,484800.0
102,489600.0
103,494400.0
104,499200.0
105,504000.0
106,508800.0
107,513600.0
108,518400.0
109,523200.0
110,528000.0
111,532800.0
112,537600.0
113,542400.0
114,547200.0
115,552000.0
116,556800.0
117,561600.0
118,566400.0
119,571200.0
120,576000.0
121,580800.0
122,585600.0
123,590400.0
124,595200.0
125,600000.0
126,604800.0
127,609600.0
128,614400.0
129,619200.0
130,624000.0
131,628800.0
132,633600.0
133,638400.0
134,643200.0
135,648000.0
136,652800.0
137,657600.0
138,662400.0
139,667200.0
140,672000.0
141,676800.0
142,681600.0
143,686400.0
144,691200.0
145,696000.0
146,700800.0
147,705600.0
148,710400.0
149,715200.0
150,720000.0
151,724800.0
152,729600.0
153,734400.0
154,739200.0
155,744000.0
156,748800.0
157,753600.0
158,758400.0
159,763200.0
160,768000.0
161,772800.0
162,777600.0
163,782400.0
164,787200.0
165,792000.0
166,796800.0
167,801600.0
168,806400.0
169,811200.0
170,816000.0
171,820800.0
172,825600.0
173,830400.0
174,835200.0
175,840000.0
176,844800.0
177,849600.0
178,854400.0
179,859200.0
180,864000.0
181,868800.0
182,873600.0
183,878400.0
184,883200.0
185,888000.0
186,892800.0
187,897600.0
188,902400.0
189,907200.0
190,912000.0
191,916800.0
192,921600.0
193,926400.0
194,931200.0
195,936000.0
196,940800.0
197,945600.0
198,950400.0
199,955200.0
200,960000.0
201,964800.0
202,969600.0
203,974400.0
204,979200.0
205,984000.0
206,988800.0
207,993600.0
208,998400.0
209,1003200.0
210,1008000.0
